Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,14.81,7,3,1,"Captain Gaud Marg, Ashram Chowk, MB Road (Saket Metro to Khanpur)",Choudhary Fateh Singh Marg,Main Road,50.8,42.0,83.92,46.27,120.76,73.39,0.15,17.24,297.46,182.06,-0.2,236.76,34.98733333333333
"Kalkaji, Delhi","RK Puram, Delhi",Mathura Road,30.12,11,1,3,Britannia Chowk,"Ashoka Road, Akbar Road, Anuvrat Marg",Main Road,82.47,65.21,148.21,74.97,228.49,126.37,0.3,11.65,551.7,351.36,-0.17,403.9,40.007999999999996
"Kalkaji, Delhi","RK Puram, Delhi",Mathura Road,32.35,11,2,1,"MB Road (Saket Metro to Khanpur), Barapullah Flyover",Shankar Road,Internal Road,85.25,66.88,155.46,77.16,243.19,144.4,0.32,27.96,574.52,392.37,0.47,462.79,33.156666666666666
"Kalkaji, Delhi","RK Puram, Delhi",Mehrauli-Gurgaon Road,29.95,11,4,2,"Kashmiri Gate Ring Road, Barapullah Flyover, Dwarka Link Road, Ashram Chowk","Africa Avenue Road, Shankar Road",Main Road,91.93,74.75,157.33,83.66,223.63,130.11,0.3,13.03,515.13,363.97,0.43,403.69,43.99666666666667
"Kalkaji, Delhi","RK Puram, Delhi",Barapullah Corridor,11.79,12,3,1,"Barapullah Flyover, Lala Lajpat Rai Marg near CGO Complex, Rohini West Metro Station",Aurobindo Marg,Main Road,49.1,40.8,78.68,43.11,97.76,52.26,0.12,26.11,256.01,160.14,-0.47,187.48,34.786
"Kalkaji, Delhi","RK Puram, Delhi",Outer Ring Road,11.58,8,3,1,"Barapullah Flyover, Rohini West Metro Station, Kashmiri Gate Ring Road",SSN Marg,Main Road,45.16,37.77,72.32,40.71,95.33,51.67,0.12,27.09,241.71,179.85,0.23,185.43,34.772
"Ashok Vihar, Delhi","Khan Market, Delhi",Najafgarh Road,39.29,6,2,2,"NH-48 Gurugram Border, Under IIT Flyover","Najafgarh Road, SSN Marg",Main Road,97.58,76.74,179.16,90.67,291.81,168.87,0.39,31.95,655.31,423.45,-0.44,535.07,38.61933333333333
"Ashok Vihar, Delhi","Khan Market, Delhi",Najafgarh Road,7.39,6,1,1,Yusuf Sarai Market,Shankar Road,Internal Road,27.23,22.34,45.02,23.86,63.11,36.6,0.07,9.3,179.03,137.89,0.44,166.72,28.49266666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",NH44,37.65,11,1,1,Rohini West Metro Station,Kanjhawala Road,Main Road,92.17,71.14,172.97,83.09,280.47,161.21,0.38,14.13,616.05,426.38,0.47,507.89,30.509999999999998
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,40.54,5,1,3,Under IIT Flyover,"Najafgarh Road, Kanjhawala Road, Tilak Marg",Highway,98.55,77.28,182.13,91.51,300.8,173.6,0.41,31.17,679.37,461.42,0.46,555.16,40.702666666666666
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,13.9,8,2,3,"Rohini West Metro Station, Adchini Village","Africa Avenue Road, Ring Road, Boulevard Road",Internal Road,51.95,43.41,83.75,47.06,113.62,62.26,0.14,16.63,294.01,208.01,0.39,230.03,41.92666666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mathura Road,24.0,8,3,3,"Peera Garhi Chowk, Yusuf Sarai Market, Kalindi Kunj Road","Choudhary Fateh Singh Marg, Kanjhawala Road, Tilak Marg",Main Road,76.05,62.45,128.05,70.0,183.38,108.13,0.24,22.19,450.57,288.11,-0.4,354.31,45.6
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Outer Ring Road,32.87,8,2,3,"Azadpur Flyover, Under IIT Flyover","GT Road, Mathura Road, Boulevard Road",Main Road,89.81,71.78,159.55,82.63,241.98,138.84,0.33,24.05,572.19,380.1,-0.42,461.69,43.19133333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,15.22,7,4,2,"Britannia Chowk, NH-48 Gurugram Border, Rohini West Metro Station, Mukraba to Madhuban Chowk","Najafgarh Road, Outer Ring Road",Main Road,58.44,49.43,92.38,54.04,120.34,73.95,0.15,12.69,290.68,216.08,-0.4,239.38,43.01466666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,34.49,10,4,2,"Ashram Chowk, Barapullah Flyover, Peera Garhi Chowk, NH-48 Gurugram Border","Ashoka Road, GT Road",Highway,99.44,80.2,173.42,91.67,251.72,150.67,0.34,28.29,578.75,390.86,-0.09,464.75,44.29933333333334
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Najafgarh Road,15.57,10,3,1,"Ashram Chowk, Azadpur Flyover, Barapullah Flyover",Africa Avenue Road,Internal Road,54.98,45.2,91.12,49.19,123.15,75.53,0.16,17.19,295.31,224.08,-0.16,262.15,35.038
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",NH44,12.12,6,1,3,Yusuf Sarai Market,"Choudhary Fateh Singh Marg, Kanjhawala Road, Ring Road",Highway,42.3,35.04,69.54,38.72,97.32,56.19,0.12,11.41,254.85,173.56,0.1,224.12,38.808
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,23.97,9,2,3,"Ashram Chowk, Captain Gaud Marg","Ring Road, Mathura Road, Anuvrat Marg",Main Road,72.86,59.08,125.3,66.44,179.59,110.27,0.24,25.74,421.43,272.11,-0.23,342.93,42.598
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,5.15,7,1,1,Under IIT Flyover,Akbar Road,Internal Road,23.51,19.53,37.3,20.16,53.72,28.06,0.05,16.42,165.21,117.96,-0.45,128.47,28.343333333333334
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mehrauli-Gurgaon Road,25.22,7,3,1,"Barapullah Flyover, Dwarka Link Road, Lala Lajpat Rai Marg near CGO Complex",Boulevard Road,Highway,71.64,57.63,125.58,65.79,192.25,109.99,0.25,28.87,468.21,305.7,-0.16,360.2,35.681333333333335
"Pitampura, Delhi","Janakpuri, Delhi",Vikas Marg,49.24,7,1,3,Captain Gaud Marg,"Choudhary Fateh Singh Marg, Ashoka Road, Outer Ring Road",Highway,117.53,91.51,219.51,108.83,359.56,211.28,0.49,31.04,816.24,539.56,0.02,632.49,41.28266666666667
"Pitampura, Delhi","Janakpuri, Delhi",Najafgarh Road,11.41,5,4,2,"Barapullah Flyover, Peera Garhi Chowk, Lala Lajpat Rai Marg near CGO Complex, Under IIT Flyover","Najafgarh Road, Africa Avenue Road",Internal Road,49.25,42.54,74.56,45.89,97.42,52.12,0.11,11.71,249.27,172.98,0.36,215.8,42.760666666666665
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,30.55,9,4,1,"Ashram Chowk, Adchini Village, Barapullah Flyover, Yusuf Sarai Market",Najafgarh Road,Highway,87.81,70.74,153.41,80.78,229.95,130.19,0.31,14.0,517.87,362.63,-0.47,419.68,39.03666666666666
"Pitampura, Delhi","Janakpuri, Delhi",Vikas Marg,30.56,6,2,2,"Kalindi Kunj Road, Under IIT Flyover","Ring Road, Najafgarh Road",Internal Road,80.35,63.87,144.47,74.3,231.76,131.69,0.31,29.68,529.98,357.04,-0.24,421.72,38.037333333333336
"Pitampura, Delhi","Janakpuri, Delhi",NH44,45.03,12,1,1,Under IIT Flyover,Africa Avenue Road,Highway,107.7,82.78,203.75,97.43,334.27,186.24,0.45,18.74,745.55,511.15,0.12,584.08,31.002
"Daryaganj, Delhi","Tughlaqabad, Delhi",Rohtak Road,46.24,9,3,3,"Mukraba to Madhuban Chowk, MB Road (Saket Metro to Khanpur), Barapullah Flyover","Anuvrat Marg, Boulevard Road, Choudhary Fateh Singh Marg",Internal Road,121.25,96.33,218.22,112.2,337.12,192.82,0.46,17.46,780.16,502.7,-0.35,606.23,47.08266666666667
"Daryaganj, Delhi","Tughlaqabad, Delhi",Vikas Marg,16.46,11,4,1,"Azadpur Flyover, Under IIT Flyover, Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur)",Aurobindo Marg,Main Road,61.25,50.81,99.67,55.36,128.2,74.11,0.16,25.33,308.84,216.32,-0.34,265.05,38.09733333333334
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH44,39.12,6,2,2,"Kalindi Kunj Road, Britannia Chowk","Ring Road, Aurobindo Marg",Highway,97.59,76.83,178.83,90.35,289.65,167.25,0.39,19.28,638.51,430.18,0.46,515.38,38.608000000000004
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,36.7,10,1,3,Azadpur Flyover,"Akbar Road, Kanjhawala Road, Shankar Road",Highway,94.93,74.58,173.33,86.81,269.75,159.58,0.37,30.33,624.4,406.08,0.34,508.52,40.446666666666665
"Daryaganj, Delhi","Tughlaqabad, Delhi",Najafgarh Road,7.55,12,3,3,"Britannia Chowk, Dwarka Link Road, Under IIT Flyover","Africa Avenue Road, Mathura Road, Kanjhawala Road",Internal Road,46.8,40.62,67.89,41.16,71.76,42.01,0.08,12.98,187.64,116.37,-0.43,147.18,44.50333333333333
"Rithala, Delhi","Chhatarpur, Delhi",Outer Ring Road,30.48,10,3,1,"Barapullah Flyover, Under IIT Flyover, MB Road (Saket Metro to Khanpur)",Anuvrat Marg,Highway,84.7,67.45,150.66,77.15,225.72,132.37,0.3,20.59,510.63,368.07,0.02,435.76,36.032
"Rithala, Delhi","Chhatarpur, Delhi",DND Flyway,27.2,5,3,1,"Peera Garhi Chowk, Lala Lajpat Rai Marg near CGO Complex, Barapullah Flyover",Kanjhawala Road,Internal Road,73.88,59.28,130.78,68.5,205.02,119.59,0.27,27.48,464.51,323.79,0.22,400.95,35.81333333333333
"Rithala, Delhi","Chhatarpur, Delhi",Mehrauli-Gurgaon Road,48.62,9,3,3,"Kashmiri Gate Ring Road, Ashram Chowk, Barapullah Flyover","Mathura Road, Shankar Road, Boulevard Road",Internal Road,126.32,100.22,228.06,116.66,358.61,202.08,0.49,31.07,823.19,551.21,0.36,646.22,47.24133333333333
"Rithala, Delhi","Chhatarpur, Delhi",NH44,29.52,12,3,3,"Barapullah Flyover, Rohini West Metro Station, Yusuf Sarai Market","Akbar Road, Dwarka Link Road, Najafgarh Road",Highway,90.17,73.02,155.22,82.35,218.5,124.7,0.3,17.25,500.26,362.24,-0.23,430.73,45.968
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",DND Flyway,19.13,12,2,1,"Britannia Chowk, MB Road (Saket Metro to Khanpur)",Outer Ring Road,Highway,60.16,48.2,104.42,52.87,153.86,81.69,0.19,25.22,385.34,226.38,0.23,296.57,32.275333333333336
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Barapullah Corridor,34.24,12,3,3,"Dwarka Link Road, MB Road (Saket Metro to Khanpur), NH-48 Gurugram Border","Aurobindo Marg, Outer Ring Road, Dwarka Link Road",Highway,99.92,80.4,174.4,91.2,251.97,146.03,0.34,29.37,597.17,409.89,-0.0,452.76,46.28266666666667
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Najafgarh Road,37.13,12,2,2,"Barapullah Flyover, Peera Garhi Chowk","Kanjhawala Road, Boulevard Road",Internal Road,98.57,77.61,178.83,89.62,273.57,160.38,0.37,17.38,611.79,417.82,-0.29,508.46,38.47533333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Outer Ring Road,17.73,12,3,2,"Mukraba to Madhuban Chowk, MB Road (Saket Metro to Khanpur), Rohini West Metro Station","Tilak Marg, Ashoka Road",Highway,63.95,52.68,105.41,57.24,134.99,79.35,0.18,10.64,329.53,209.92,0.04,257.06,40.182
"Pitampura, Delhi","Janakpuri, Delhi",Mathura Road,24.43,12,1,2,MB Road (Saket Metro to Khanpur),"Outer Ring Road, Ashoka Road",Internal Road,69.35,54.74,124.21,61.81,186.43,103.87,0.24,14.78,434.65,313.64,-0.17,366.34,34.62866666666667
"Pitampura, Delhi","Janakpuri, Delhi",NH48,41.61,7,4,2,"Kalindi Kunj Road, Yusuf Sarai Market, Peera Garhi Chowk, Dwarka Link Road","Africa Avenue Road, Anuvrat Marg",Main Road,111.3,89.1,198.03,103.52,308.09,177.21,0.42,27.1,698.13,474.77,0.44,566.42,44.774
"Pitampura, Delhi","Janakpuri, Delhi",Mehrauli-Gurgaon Road,44.59,8,2,2,"Rohini West Metro Station, Dwarka Link Road","Ashoka Road, Najafgarh Road",Main Road,110.06,86.17,203.24,101.61,323.86,188.84,0.45,16.54,752.26,513.55,0.15,580.82,38.97266666666667
"Pitampura, Delhi","Janakpuri, Delhi",NH44,17.85,10,2,1,"Dwarka Link Road, Azadpur Flyover",Outer Ring Road,Highway,55.48,44.55,96.18,49.47,137.39,78.47,0.18,10.33,325.42,220.43,0.03,286.86,32.19
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Outer Ring Road,23.53,5,3,3,"Barapullah Flyover, Adchini Village, Rohini West Metro Station","SSN Marg, Aurobindo Marg, Kanjhawala Road",Internal Road,72.19,59.43,121.76,67.62,183.79,99.43,0.24,11.27,438.28,295.68,0.22,345.85,45.568666666666665
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Mehrauli-Gurgaon Road,38.32,10,4,3,"Dwarka Link Road, Azadpur Flyover, Adchini Village, Under IIT Flyover","GT Road, Ashoka Road, SSN Marg",Highway,110.72,89.55,192.35,101.85,278.64,166.0,0.38,13.03,672.63,442.81,0.11,522.08,49.55466666666666
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Rohtak Road,41.22,11,1,3,Ashram Chowk,"Ashoka Road, Mathura Road, SSN Marg",Highway,104.83,82.02,192.77,95.79,303.01,173.27,0.41,20.11,715.39,480.16,-0.28,554.18,40.748000000000005
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Najafgarh Road,44.71,12,1,3,Dwarka Link Road,"Ring Road, SSN Marg, Akbar Road",Highway,113.02,88.26,208.44,102.83,328.58,188.52,0.45,20.94,724.34,499.67,-0.13,599.72,40.980666666666664
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Vikas Marg,42.6,12,3,2,"Rohini West Metro Station, Barapullah Flyover, Mukraba to Madhuban Chowk","Africa Avenue Road, GT Road",Main Road,113.59,89.88,204.78,103.88,316.14,178.75,0.43,26.26,697.69,460.85,-0.38,557.54,41.84
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,6.22,7,1,3,Under IIT Flyover,"Aurobindo Marg, Ring Road, SSN Marg",Highway,31.3,26.8,47.24,28.16,57.2,35.83,0.06,15.84,191.44,110.36,-0.48,126.52,38.41466666666666
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,9.39,8,3,1,"Rohini West Metro Station, Yusuf Sarai Market, Kalindi Kunj Road",Anuvrat Marg,Main Road,41.03,34.74,63.82,36.61,79.86,43.77,0.09,10.47,208.54,136.75,0.11,180.71,34.626000000000005
"Kashmere Gate, Delhi","Saket, Delhi",NH48,27.86,6,4,2,"Rohini West Metro Station, Adchini Village, Barapullah Flyover, MB Road (Saket Metro to Khanpur)","Mathura Road, Shankar Road",Internal Road,83.22,68.08,141.94,77.24,210.76,124.01,0.28,15.3,468.53,313.72,0.07,409.95,43.85733333333333
"Kashmere Gate, Delhi","Saket, Delhi",Barapullah Corridor,25.65,5,2,1,"Mukraba to Madhuban Chowk, Rohini West Metro Station",Ring Road,Main Road,66.67,52.85,120.47,61.59,197.81,114.58,0.26,17.67,459.46,316.36,0.01,374.54,32.71
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,16.18,10,3,1,"Captain Gaud Marg, Kalindi Kunj Road, Dwarka Link Road",Choudhary Fateh Singh Marg,Main Road,56.16,46.08,93.53,50.34,125.99,71.67,0.16,9.75,338.85,215.16,0.43,250.04,35.07866666666666
"Pitampura, Delhi","Janakpuri, Delhi",Mathura Road,6.73,5,3,1,"Under IIT Flyover, Adchini Village, Rohini West Metro Station",Aurobindo Marg,Highway,32.77,28.4,48.73,30.12,58.65,39.36,0.07,17.16,186.2,100.7,-0.43,121.38,34.44866666666667
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,22.34,6,4,2,"Lala Lajpat Rai Marg near CGO Complex, Kashmiri Gate Ring Road, Azadpur Flyover, Adchini Village","Tilak Marg, Ashoka Road",Main Road,71.89,59.52,119.57,66.89,174.91,95.64,0.22,24.5,392.83,289.85,-0.31,322.51,43.489333333333335
"Pitampura, Delhi","Janakpuri, Delhi",Mathura Road,22.29,7,4,2,"NH-48 Gurugram Border, Kashmiri Gate Ring Road, Captain Gaud Marg, Dwarka Link Road","Tilak Marg, GT Road",Internal Road,72.64,60.1,120.72,67.29,170.39,100.4,0.22,10.31,389.26,253.45,-0.07,320.0,43.486000000000004
"Pitampura, Delhi","Janakpuri, Delhi",Outer Ring Road,48.2,8,4,2,"Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur), Adchini Village, Britannia Chowk","Shankar Road, Mathura Road",Highway,125.53,99.83,225.93,116.38,356.64,199.69,0.48,27.32,810.99,521.85,-0.13,618.81,45.21333333333334
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",DND Flyway,29.15,11,2,1,"Dwarka Link Road, Kashmiri Gate Ring Road",Dwarka Link Road,Internal Road,78.71,61.94,142.51,71.16,215.04,123.69,0.29,13.76,519.95,352.95,0.44,418.71,32.94333333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Outer Ring Road,36.04,6,4,3,"Mukraba to Madhuban Chowk, Britannia Chowk, Captain Gaud Marg, MB Road (Saket Metro to Khanpur)","Mathura Road, Dwarka Link Road, Shankar Road",Highway,102.19,82.97,177.28,95.58,270.85,152.49,0.36,26.9,607.14,425.98,-0.27,504.43,49.40266666666667
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,16.55,10,1,2,Britannia Chowk,"Anuvrat Marg, Dwarka Link Road",Main Road,51.93,41.65,90.03,46.03,131.66,76.52,0.17,11.27,311.41,220.42,-0.09,256.83,34.10333333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Najafgarh Road,36.35,5,3,2,"Rohini West Metro Station, Adchini Village, Kalindi Kunj Road","Shankar Road, Ring Road",Highway,94.51,75.33,169.71,88.66,264.54,151.94,0.36,15.31,625.55,396.92,0.02,495.29,41.42333333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,9.68,11,2,3,"Britannia Chowk, Peera Garhi Chowk","Ashoka Road, Dwarka Link Road, SSN Marg",Main Road,46.3,39.26,71.16,40.65,77.76,48.42,0.1,11.77,199.72,127.97,0.38,168.91,41.64533333333333
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Mathura Road,6.96,6,1,2,Azadpur Flyover,"Boulevard Road, Africa Avenue Road",Internal Road,29.27,24.59,46.19,26.05,63.39,36.23,0.07,17.64,184.1,107.85,-0.48,151.89,33.464
"Punjabi Bagh, Delhi","Wazirabad, Delhi",Rohtak Road,32.99,8,2,1,"Kalindi Kunj Road, Britannia Chowk",Ring Road,Highway,83.79,65.7,153.77,76.86,244.03,144.28,0.33,12.85,548.97,384.88,-0.29,464.72,33.199333333333335
"Punjabi Bagh, Delhi","Wazirabad, Delhi",DND Flyway,8.31,6,3,3,"Yusuf Sarai Market, Barapullah Flyover, Britannia Chowk","Aurobindo Marg, Ashoka Road, Ring Road",Highway,42.62,37.27,62.24,39.58,77.11,38.68,0.08,18.49,218.51,147.79,-0.48,157.1,44.554
"Punjabi Bagh, Delhi","Wazirabad, Delhi",NH48,47.9,8,4,3,"Captain Gaud Marg, Yusuf Sarai Market, Azadpur Flyover, Under IIT Flyover","Mathura Road, GT Road, Anuvrat Marg",Main Road,127.55,102.0,227.35,118.81,351.96,205.73,0.48,19.47,807.32,513.65,0.44,652.07,50.193333333333335
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,15.33,12,2,1,"NH-48 Gurugram Border, MB Road (Saket Metro to Khanpur)",Tilak Marg,Main Road,52.22,42.15,88.88,45.74,126.42,71.08,0.15,14.22,303.31,210.52,-0.15,224.98,32.022
"Laxmi Nagar, Delhi","Dwarka, Delhi",Rohtak Road,34.28,7,1,1,Mukraba to Madhuban Chowk,Kanjhawala Road,Internal Road,81.69,63.15,153.75,74.78,251.65,147.8,0.34,13.38,585.41,405.63,0.44,479.92,30.285333333333334
"Laxmi Nagar, Delhi","Dwarka, Delhi",Outer Ring Road,17.54,11,2,3,"Mukraba to Madhuban Chowk, Kashmiri Gate Ring Road","Ring Road, Tilak Marg, GT Road",Highway,61.9,50.93,102.48,55.39,138.05,77.91,0.18,21.13,348.68,215.03,-0.32,284.94,42.169333333333334
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH48,10.46,11,4,2,"Yusuf Sarai Market, Peera Garhi Chowk, Kashmiri Gate Ring Road, Lala Lajpat Rai Marg near CGO Complex","Akbar Road, GT Road",Internal Road,52.54,45.11,78.96,47.11,92.49,51.94,0.1,7.75,210.31,139.25,0.2,177.25,42.69733333333333
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,40.72,12,4,1,"Kalindi Kunj Road, Adchini Village, Barapullah Flyover, Mukraba to Madhuban Chowk",Akbar Road,Highway,110.93,88.17,198.37,101.35,303.57,171.27,0.41,16.4,671.6,457.37,-0.05,567.6,39.714666666666666
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,11.96,5,2,3,"Dwarka Link Road, Barapullah Flyover","SSN Marg, Ashoka Road, Anuvrat Marg",Highway,45.29,38.31,71.71,41.92,99.64,58.91,0.12,24.76,256.6,170.82,-0.16,195.85,41.797333333333334
"Connaught Place, Delhi","Noida, Delhi",NH44,43.57,11,2,2,"Lala Lajpat Rai Marg near CGO Complex, Under IIT Flyover","Mathura Road, Najafgarh Road",Highway,110.42,86.44,203.06,101.19,321.81,187.35,0.44,30.91,749.8,505.29,-0.27,589.85,38.90466666666667
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,25.21,7,2,1,"Adchini Village, Azadpur Flyover",Anuvrat Marg,Highway,67.55,53.54,121.47,61.77,191.04,115.68,0.25,21.51,461.95,313.59,-0.17,381.95,32.68066666666667
"Pitampura, Delhi","Janakpuri, Delhi",Najafgarh Road,9.72,6,1,2,Dwarka Link Road,"GT Road, Kanjhawala Road",Highway,34.48,28.42,56.91,31.23,86.01,44.48,0.1,21.73,223.28,132.21,0.3,186.6,33.647999999999996
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,6.99,6,2,3,"Ashram Chowk, Under IIT Flyover","Shankar Road, Outer Ring Road, Choudhary Fateh Singh Marg",Internal Road,36.06,31.37,53.05,33.11,61.96,35.27,0.07,16.11,204.59,108.16,0.25,162.01,41.466
"Pitampura, Delhi","Janakpuri, Delhi",Vikas Marg,27.02,12,1,3,Azadpur Flyover,"Najafgarh Road, Shankar Road, Anuvrat Marg",Main Road,77.27,61.36,137.31,69.66,204.05,118.71,0.27,10.82,473.65,301.31,-0.01,401.68,39.80133333333333
"Pitampura, Delhi","Janakpuri, Delhi",NH48,8.7,9,1,2,Adchini Village,"Outer Ring Road, Shankar Road",Highway,35.3,29.15,57.2,30.81,79.0,41.48,0.09,18.75,183.7,130.15,0.3,177.1,33.58
